1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157680,0,30642480,0,0,0
0,0,0,446760,0,0,0,0,0,0,0,0,0,0,0,0,0,236520,0,0,289080,0,6202080,0,0,0,0,0,0,78840,0,0,0,0,0,0,0,0,0,0,0,6832800,0,0,341640
236520,2549160,0,0,52560,183960,11904840,499320,0,0,26280,10748520,3626640,0,0,19578600,0,0,57947400,0,0,0,15689160,12088800,6675120,6675120,105120,0,10275480,367920,0,131400,0,0,709560,0,0,0,1918440,0,0,1918440,262800,0,1024920
0,2128680,4599000,22889880,867240,210240,1971000,0,6280920,0,840960,30826440,1497960,0,17607600,3179880,0,0,2864520,0,0,23704560,50431320,10065240,1471680,3468960,5965560,0,341640,0,0,0,289080,2128680,1024920,0,0,341640,0,0,0,0,1156320,26280,0
0,3942000,1314000,3574080,1892160,1235160,919800,0,1944720,131400,525600,5702760,1576800,131400,17187120,7332120,105120,0,0,8278200,0,11037600,5886720,4809240,0,735840,9303120,0,762120,0,0,13061160,420480,814680,10196640,0,525600,26280,0,578160,0,394200,15741720,473040,105120
262800,3311280,8357040,19946520,1524240,420480,7568640,52560,1918440,3758040,1734480,4599000,1208880,0,21155400,3652920,0,5965560,0,5150880,183960,4835520,4782960,3994560,551880,183960,4257360,762120,525600,183960,0,17397360,5282280,4047120,2969640,131400,551880,7437240,15873120,3127320,105120,1208880,21129120,6018120,1103760
0,2838240,2312640,26831880,1208880,183960,10801080,11904840,2391480,1497960,1208880,3836880,18711360,0,24650640,5387400,0,919800,0,2628000,0,4993200,3836880,3784320,1208880,5124600,9355680,3547800,0,1156320,157680,5387400,2733120,1918440,3206160,157680,210240,3731760,4756680,1708200,578160,5150880,6202080,1655640,446760
0,1760760,262800,4704120,367920,0,1655640,1497960,735840,1287720,0,814680,1576800,0,3153600,1839600,0,0,0,551880,0,3048480,2102400,2575440,0,0,2759400,183960,52560,0,0,1971000,946080,1340280,2154960,0,0,2312640,2549160,0,0,840960,3626640,0,0
0,0,0,315360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157680,0,30642480,0,0,0,0
0,0,446760,0,0,0,0,0,0,0,0,0,0,0,0,0,236520,0,0,289080,0,6202080,0,0,0,0,0,0,78840,0,0,0,0,0,0,0,0,0,0,0,6832800,0,0,341640,0
2549160,0,0,52560,183960,11904840,499320,0,0,26280,10748520,3626640,0,0,19578600,0,0,57947400,0,0,0,15689160,12088800,6675120,6675120,105120,0,10275480,367920,0,131400,0,0,709560,0,0,0,1918440,0,0,1918440,262800,0,1024920,18869040
2128680,4599000,22889880,867240,210240,1971000,0,6280920,0,840960,30826440,1497960,0,17607600,3179880,0,0,2864520,0,0,23704560,50431320,10065240,1471680,3468960,5965560,0,341640,0,0,0,289080,2128680,1024920,0,0,341640,0,0,0,0,1156320,26280,0,10117800
3942000,1314000,3574080,1892160,1235160,919800,0,1944720,131400,525600,5702760,1576800,131400,17187120,7332120,105120,0,0,8278200,0,11037600,5886720,4809240,0,735840,9303120,0,762120,0,0,13061160,420480,814680,10196640,0,525600,26280,0,578160,0,394200,15741720,473040,105120,7594920
3311280,8357040,19946520,1524240,420480,7568640,52560,1918440,3758040,1734480,4599000,1208880,0,21155400,3652920,0,5965560,0,5150880,183960,4835520,4782960,3994560,551880,183960,4257360,762120,525600,183960,0,17397360,5282280,4047120,2969640,131400,551880,7437240,15873120,3127320,105120,1208880,21129120,6018120,1103760,4625280
2838240,2312640,26831880,1208880,183960,10801080,11904840,2391480,1497960,1208880,3836880,18711360,0,24650640,5387400,0,919800,0,2628000,0,4993200,3836880,3784320,1208880,5124600,9355680,3547800,0,1156320,157680,5387400,2733120,1918440,3206160,157680,210240,3731760,4756680,1708200,578160,5150880,6202080,1655640,446760,3547800
1760760,262800,4704120,367920,0,1655640,1497960,735840,1287720,0,814680,1576800,0,3153600,1839600,0,0,0,551880,0,3048480,2102400,2575440,0,0,2759400,183960,52560,0,0,1971000,946080,1340280,2154960,0,0,2312640,2549160,0,0,840960,3626640,0,0,1734480
0,0,315360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
