1963-1964,1964-1965,1965-1966,1966-1967,1967-1968,1968-1969,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60969600,0,0,0
0,0,0,0,0,26280,0,0,0,26280,0,0,0,0,0,0,0,0,0,0,0,0,0,26280,0,0,0,0,26280,0,0,0,0,0,0,0,0,0,0,0,0,14979600,0,0,26280
0,7700040,0,0,0,0,11642040,0,0,0,0,0,0,0,0,10774800,0,0,146327040,0,0,0,32324400,22548240,0,4362480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5597640,0,0,0
0,5387400,2811960,22627080,7410960,26280,4520160,0,2076120,0,10958760,69589440,7069320,0,17029440,4467600,0,0,11983680,0,0,23441760,91980000,19920240,0,4204800,13718160,0,26280,0,0,0,0,20472120,0,0,0,0,0,0,0,2706840,0,0,26280
0,11221560,998640,5939280,12483000,4572720,1865880,0,8619840,2417760,4152240,11221560,16083360,0,65910240,22495680,0,0,5466240,7621200,0,23441760,14375160,11957400,0,1497960,18422280,0,9434520,0,0,32429520,0,5650200,17949240,0,0,0,0,0,0,1235160,22048920,0,0
7095600,35031240,36660600,65226960,12009960,1734480,33612120,1760760,11274120,17528760,6359760,17686440,14164920,0,65095560,20156760,0,15715440,3337560,18422280,0,8514720,17082000,16766640,7174440,7989120,18212040,6648840,3836880,0,0,70614360,31273200,22048920,5702760,2365200,0,40392360,46725840,25964640,2417760,36686880,66908880,22048920,9986400
2601720,22653360,7778880,59655600,13770720,2943360,55293120,46410480,12509280,5439960,2549160,35951040,94371480,0,55371960,28986840,0,4940640,1787040,5991840,0,25938360,19394640,25018560,8541000,47855880,40760280,14953320,1550520,8672400,0,30563640,17528760,18869040,8619840,2759400,6727680,22705920,21181680,10144080,867240,21838680,12877200,5807880,3758040
919800,9434520,3495240,14375160,5965560,1077480,10801080,8698680,4966920,8225640,998640,10748520,12903480,0,16057080,8961480,0,1918440,972360,2628000,0,9014040,10722240,9145440,3206160,8619840,10406880,5203440,262800,3285000,0,12509280,7227000,8225640,3705480,1024920,2496600,9171720,9145440,4283640,0,8619840,8304480,2338920,1445400
0,4520160,1366560,6727680,2365200,0,4257360,3285000,1892160,3179880,105120,4546440,5913000,0,7542360,4204800,0,105120,341640,972360,0,3836880,4204800,4152240,1156320,3363840,4073400,1971000,26280,1261440,0,5755320,2733120,3232440,1340280,0,919800,4520160,3652920,1603080,0,3600360,3127320,210240,52560
0,788400,0,998640,0,0,840960,735840,0,972360,0,788400,919800,0,1235160,762120,0,0,0,0,0,735840,78840,840960,0,762120,919800,0,0,0,0,946080,657000,683280,0,0,0,814680,1103760,0,0,683280,52560,0,0
