1963-1964,1964-1965,1965-1966,1966-1967,1967-1968,1968-1969,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788400,26280,21444480,0,0,0
0,0,0,210240,0,0,0,0,0,0,0,0,0,0,0,0,0,157680,0,0,52560,0,4020840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105120,0,6070680,0,0,2286360
52560,788400,0,0,105120,157680,7884000,578160,0,0,0,4152240,551880,0,0,9592200,0,0,33033960,0,0,0,8225640,4152240,3022200,4493880,0,0,3863160,131400,0,0,0,0,289080,0,0,0,26280,26280,0,1445400,2365200,0,919800
0,919800,1314000,13744440,525600,157680,1340280,0,9749880,0,131400,15636600,289080,0,8278200,1471680,0,0,1760760,0,0,14480280,36923400,5650200,683280,3994560,3127320,0,52560,0,0,0,157680,6727680,946080,0,0,131400,0,0,0,0,1865880,499320,157680
0,1629360,551880,2233800,1366560,1603080,683280,0,2023560,105120,52560,2838240,525600,0,11379240,4099680,52560,0,0,6937920,0,5308560,3468960,3206160,0,735840,6911640,0,551880,0,0,5466240,657000,1392840,7910280,0,210240,78840,0,1655640,0,446760,10091520,420480,131400
236520,1839600,4730400,11195280,972360,446760,4546440,0,1892160,1655640,183960,2338920,289080,0,14532840,1997280,0,4099680,0,2049840,131400,2733120,2943360,2233800,1287720,420480,3416400,236520,446760,52560,0,11405520,6990480,6175800,2260080,525600,236520,5045760,9092880,2549160,105120,2706840,20656080,5518800,2890800
0,1603080,1235160,17108280,762120,52560,9644760,5439960,2181240,735840,78840,1918440,9828720,0,17292240,3048480,0,604440,0,1419120,0,2917080,2496600,1918440,1130040,4651560,7831440,1103760,0,210240,26280,3705480,2444040,3863160,2917080,578160,262800,2417760,5256000,1944720,262800,4782960,4073400,1445400,972360
0,1051200,210240,2969640,183960,0,1314000,499320,919800,315360,0,183960,630720,0,2023560,1024920,0,0,0,183960,0,1734480,1708200,1235160,0,210240,2260080,0,78840,0,0,1813320,1182600,2654280,1892160,52560,0,1445400,2154960,814680,0,1182600,2522880,0,0
0,0,0,367920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78840,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788400,26280,21444480,0,0,0,0
0,0,210240,0,0,0,0,0,0,0,0,0,0,0,0,0,157680,0,0,52560,0,4020840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105120,0,6070680,0,0,2286360,0
788400,0,0,105120,157680,7884000,578160,0,0,0,4152240,551880,0,0,9592200,0,0,33033960,0,0,0,8225640,4152240,3022200,4493880,0,0,3863160,131400,0,0,0,0,289080,0,0,0,26280,26280,0,1445400,2365200,0,919800,16083360
919800,1314000,13744440,525600,157680,1340280,0,9749880,0,131400,15636600,289080,0,8278200,1471680,0,0,1760760,0,0,14480280,36923400,5650200,683280,3994560,3127320,0,52560,0,0,0,157680,6727680,946080,0,0,131400,0,0,0,0,1865880,499320,157680,11536920
