1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236520,0,0,0,0,0,0,0,0,0,183960,0,60154920,0,0,0
0,0,0,367920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18842760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6885360,0,0,13875840
0,420480,0,0,341640,657000,18133200,341640,0,0,0,36949680,0,0,0,44676000,0,0,106407720,0,0,1182600,20524680,735840,446760,1997280,0,0,919800,236520,0,0,0,0,919800,0,0,0,0,0,0,709560,341640,788400,315360
0,762120,919800,52638840,41653800,473040,2811960,0,18921600,0,210240,55319400,6333480,0,20577240,5913000,0,0,6727680,0,0,41180760,66383280,2154960,0,9802440,15321240,0,0,315360,0,0,0,26831880,867240,0,0,131400,0,0,0,0,315360,946080,0
0,2417760,78840,9855000,59366520,3468960,0,0,4415040,341640,0,12036240,2417760,0,35556840,6280920,0,0,0,5807880,0,11694600,10065240,1681920,0,1024920,26753040,0,4336200,0,0,9355680,2023560,5387400,18422280,0,367920,26280,0,341640,0,0,4625280,0,0
1366560,11826000,25176240,37659240,20314440,1655640,4493880,0,3731760,2417760,394200,8514720,709560,0,33270480,7043040,0,840960,0,3574080,0,8094240,9697320,1576800,1287720,709560,11352960,473040,2680560,131400,26280,38211120,22022640,20314440,5387400,2076120,446760,17423640,25833240,788400,26280,683280,21812400,6911640,78840
210240,6543720,5413680,59130000,18001800,262800,29985480,3600360,3311280,946080,0,6307200,44097840,0,44124120,8199360,0,0,0,1865880,0,6727680,9907560,2811960,1077480,22863600,22627080,1603080,867240,499320,52560,11904840,7121880,11326680,5729040,2365200,683280,6701400,13980960,683280,105120,840960,5676480,1787040,0
0,4493880,762120,11694600,12693240,0,2654280,0,0,26280,0,0,2470320,0,7962840,3101040,0,0,0,0,0,3889440,5860440,315360,0,998640,6885360,0,52560,0,0,5860440,2680560,8199360,3784320,0,0,3547800,6123240,0,0,0,0,0,0
0,0,0,2995920,2312640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236520,0,0,0,0,0,0,0,0,0,183960,0,60154920,0,0,0,0
0,0,367920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18842760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6885360,0,0,13875840,0
420480,0,0,341640,657000,18133200,341640,0,0,0,36949680,0,0,0,44676000,0,0,106407720,0,0,1182600,20524680,735840,446760,1997280,0,0,919800,236520,0,0,0,0,919800,0,0,0,0,0,0,709560,341640,788400,315360,56081520
762120,919800,52638840,41653800,473040,2811960,0,18921600,0,210240,55319400,6333480,0,20577240,5913000,0,0,6727680,0,0,41180760,66383280,2154960,0,9802440,15321240,0,0,315360,0,0,0,26831880,867240,0,0,131400,0,0,0,0,315360,946080,0,30038040
2417760,78840,9855000,59366520,3468960,0,0,4415040,341640,0,12036240,2417760,0,35556840,6280920,0,0,0,5807880,0,11694600,10065240,1681920,0,1024920,26753040,0,4336200,0,0,9355680,2023560,5387400,18422280,0,367920,26280,0,341640,0,0,4625280,0,0,20524680
11826000,25176240,37659240,20314440,1655640,4493880,0,3731760,2417760,394200,8514720,709560,0,33270480,7043040,0,840960,0,3574080,0,8094240,9697320,1576800,1287720,709560,11352960,473040,2680560,131400,26280,38211120,22022640,20314440,5387400,2076120,446760,17423640,25833240,788400,26280,683280,21812400,6911640,78840,11274120
6543720,5413680,59130000,18001800,262800,29985480,3600360,3311280,946080,0,6307200,44097840,0,44124120,8199360,0,0,0,1865880,0,6727680,9907560,2811960,1077480,22863600,22627080,1603080,867240,499320,52560,11904840,7121880,11326680,5729040,2365200,683280,6701400,13980960,683280,105120,840960,5676480,1787040,0,6596280
4493880,762120,11694600,12693240,0,2654280,0,0,26280,0,0,2470320,0,7962840,3101040,0,0,0,0,0,3889440,5860440,315360,0,998640,6885360,0,52560,0,0,5860440,2680560,8199360,3784320,0,0,3547800,6123240,0,0,0,0,0,0,630720
0,0,2995920,2312640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
