1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
0,1697688,2677932,854100,1145808,925056,2628,554508,352152,738468,536112,488808,1003896,1553148,1253556,856728,2110284,735840,3952512,1087992,764748,515088,1019664,680652,1973628,394200,388944,1069596,599184,1358676,904032,0,909288,580788,265428,0,0,1610964,1455912,8617212,733212,5821020,725328,764748,972360
1582056,3258720,1508472,1760760,725328,825192,94608,302220,34164,565020,465156,241776,675396,1377072,2751516,2806704,2628000,4073400,1482192,1561032,4354596,396828,3760668,1482192,1934208,157680,202356,628092,320616,3542544,423108,0,438876,226008,830448,0,0,788400,1053828,4493880,470412,4165380,296964,370548,1971000
6422832,5802624,1101132,1408608,754236,2664792,2325780,1253556,396828,2110284,113004,1965744,231264,3828996,1448028,3447936,3219300,4840776,3135204,917172,4961664,86724,6488532,4675212,2875032,2614860,36792,220752,977616,7474032,47304,1038060,375804,0,1316628,0,0,559764,1850112,6880104,2567556,2467692,7884,270684,4275756
5647572,6170544,4007700,4559580,5539824,1059084,2514996,2115540,1014408,1660896,4593744,5329584,1248300,3981420,5752692,4044492,3718620,2530764,1931580,5991840,2170728,6380784,8801172,7127136,6031260,5821020,1637244,3626640,1923696,3437424,47304,848844,2338920,1852740,1850112,1744992,39420,3032712,3308652,4044492,1482192,3713364,1258812,2451924,5311188
5608152,7224372,6062796,5066784,6057540,2909196,5697504,2178612,2930220,5190300,1939464,6346620,6817032,3660804,9056088,5008968,3949884,3513636,2191752,8814312,4443948,5821020,4972176,6375528,3642408,3828996,5295420,4194288,6556860,3061620,2628,7673760,3003804,1059084,3398004,759492,1836972,3550428,1450656,7463520,3069504,3030084,7361028,4383504,3324420
6940548,12059892,6422832,8236152,6294060,3169368,7082460,2528136,4386132,4982688,4081284,8081100,5187672,3697596,25199892,6948432,5960304,8241408,3114180,8585676,5006340,5326956,6233616,17405244,6835428,6935292,5140368,5744808,4599000,5970816,554508,13376520,7389936,3298140,1800180,586044,1048572,9715716,9056088,20004336,6312456,10569816,11079648,6525324,6893244
3758040,14419836,3913092,28534824,6036516,3944628,19991196,8630352,7229628,3897324,3999816,7855092,14643216,3626640,34300656,7981236,5637060,3511008,3095784,6228360,4803984,15954588,18424908,37501560,6935292,20230344,9805068,7939188,5371632,7466148,3064248,28416564,7389936,4091796,3237696,352152,2869776,7726320,7760484,10714356,4433436,12301668,6491160,5429448,5455728
2990664,21754584,4769820,4761936,5571360,2249568,4499136,5524056,4007700,4168008,2601720,4446576,7016760,2517624,4459716,5889348,3382236,3279744,2128680,5340096,4798728,15936192,8430624,9258444,4585860,4459716,5206068,4480740,8372808,5203440,1626732,5114088,3828996,4504392,2380968,596556,1482192,14743080,6612048,5705388,3216672,5928768,7234884,3266604,5839416
2239056,7395192,3224556,5455728,4259988,1771272,3910464,3563568,3828996,2930220,4110192,4911732,5124600,2273220,4775076,6456996,3786948,2785680,1928952,4546440,3182508,5545080,4609512,4959036,3624012,3666060,3976164,3553056,4215312,7453008,1335024,5221836,3337560,2612232,1931580,557136,1348164,7000992,4244220,4233708,3390120,4893336,4593744,2809332,4107564
1492704,4367736,2614860,3560940,3148344,1179972,2888172,2507112,3434796,2349432,2349432,3345444,3784320,2181240,3334932,3897324,2617488,2005164,1387584,3366468,2467692,3902580,3511008,3755412,2751516,2517624,3090528,2814588,3166740,3955140,788400,3550428,2357316,1844856,1219392,247032,838332,4267872,4099680,3101040,2383596,3579336,3371724,2078748,3090528
793656,3045852,1978884,2570184,2354688,633348,1939464,1526868,2423016,1792296,1750248,2191752,2588580,1739736,2462436,2656908,1839600,1508472,793656,2283732,1926324,2940732,2283732,3947256,1834344,1595196,2241684,2005164,2312640,2727864,341640,2596464,1766016,1216764,614952,0,475668,2924964,3282372,2157588,1700316,2401992,2228544,1282464,2068236
2917080,1865880,1306116,1876392,1458540,233892,1101132,801540,1466424,980244,1027548,1461168,2788308,2028816,1411236,1731852,1361304,830448,2880288,1363932,1106388,1871136,1303488,2591208,969732,848844,1369188,1164204,1384956,1700316,21024,1595196,1232532,727956,152424,0,81468,2057724,2620116,1424376,993384,1405980,1264068,785772,1277208
1697688,2677932,854100,1145808,925056,2628,554508,352152,738468,536112,488808,1003896,1553148,1253556,856728,2110284,735840,3952512,1087992,764748,515088,1019664,680652,1973628,394200,388944,1069596,599184,1358676,904032,0,909288,580788,265428,0,0,1610964,1455912,8617212,733212,5821020,725328,764748,972360,688536
