,Salgadinho,Surubim,Casinhas,Santa Maria do Cambuca,Vertentes,Vertente do Lerio,Frei Miguelinho,Toritama,Cumaru,Passira,Bezerros,Gravata,Riacho das Almas,Santa Cruz do Capibaribe,Caruaru,Agrestina,Altinho,Cachoeirinha,Ibirajuba
Jucazinho (R1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Machado (R2),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eng Gercino Pontes (R3),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Poco Fundo (R4),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Prata (R5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
IMP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IMP2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IMP3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IMP4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IMP5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
